fiscal_year,EntitySizeCode,EntitySizeText,EntityCategory,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractor,SumOfNumberOfActions,SumOfObligatedAmount
2005,S,Always Small Vendor,Name,1,0,1,2,2,2,13223.5000
2000,S,Always Small Vendor,PDuns,NULL,0,0,681,681,44,58924.2903
2006,M,Medium Vendor,PID,0,0,1,30,30,131,658476.4683
2005,N,Sometimes Small Vendor,Name,0,1,1,13,1,108,3626315.7469
2014,M,Medium Vendor,PID,1,1,1,101,101,31403,3264040876.6000
2001,L,Large Vendor,PDuns,0,0,1,2,2,6,590000.0000
2016,N,Sometimes Small Vendor,PDuns,0,0,0,234,238,2738,1370431.4790
1998,N,Sometimes Small Vendor,Duns,NULL,1,1,1,1,2480,2266586927.0000
2006,N,Sometimes Small Vendor,PDuns,NULL,0,0,23,23,41,43900.4200
2007,S,Always Small Vendor,PDuns,0,0,1,32661,32788,168277,475729265.4468
2007,U,Unlabeled Vendor,Duns,1,1,1,43,3,71,4993203.3496
2005,M,Medium Vendor,PDuns,1,0,1,3013,3027,16665,71381202.7152
1997,M,Medium Vendor,Duns,NULL,1,1,1,1,116,119725780.0000
1990,M,Medium Vendor,PDuns,NULL,0,1,4,5,NULL,-1236000.0000
2007,U,Unlabeled Vendor,Name,1,0,0,4,1,4,2530.9100
2008,B,Big Five,PDuns,NULL,0,0,1,4,18,535841.9894
2009,M,Medium Vendor,PID,1,0,1,7,7,10,66421.7907
2001,M,Medium Vendor,PID,1,0,1,3,3,7,139175.0000
2010,S,Always Small Vendor,PID,NULL,0,0,9,9,0,2000.0000
2014,M,Medium Vendor,PDuns,0,0,0,1767,1793,3745,8388589.7900
1989,S,Always Small Vendor,PDuns,NULL,1,1,269,274,NULL,137886000.0000
2015,M,Medium Vendor,PID,0,0,1,18,18,65,113765.1900
2003,U,Unlabeled Vendor,Duns,1,0,1,10,1,14,193013.0000
2000,L,Large Vendor,PID,1,0,1,1,1,1,28160.0000
2013,M,Medium Vendor,Duns,1,1,1,24,24,51,1791573.4000
2003,N,Sometimes Small Vendor,PID,0,1,1,946,946,131861,47162131357.1281
2007,L,Large Vendor,PDuns,0,0,1,1,1,13,50978.2100
2009,M,Medium Vendor,PDuns,0,0,1,5380,5451,11430,61290498.4564
2014,S,Always Small Vendor,PDuns,NULL,0,0,1375,1374,0,18127.8100
2001,L,Large Vendor,PDuns,1,1,1,4,10,202,127268736.6094
1998,S,Always Small Vendor,PDuns,NULL,0,0,189,189,279,-9993983.0000
1988,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,5,NULL,521000.0000
2003,S,Always Small Vendor,PDuns,NULL,1,1,2202,2202,141,33968486.8662
2015,U,Unlabeled Vendor,Duns,0,0,0,1,1,1,1221.0000
2013,S,Always Small Vendor,PID,NULL,1,1,12,12,0,39428.0000
2005,U,Unlabeled Vendor,Duns,1,0,1,19,2,108,829655.8006
1991,B,Big Five,PID,NULL,1,1,6,6,NULL,18455984964.0000
2013,L,Large Vendor,PDuns,0,1,1,88,718,22354,1859459440.6100
1998,NULL,NULL,PID,NULL,NULL,NULL,1,1,14,5654107.0000
2002,L,Large Vendor,PDuns,0,1,1,46,250,4405,1433444157.1299
2013,N,Sometimes Small Vendor,Duns,0,1,1,4,3,121921,2749550188.5800
1996,M,Medium Vendor,PID,NULL,0,0,1,1,2,-3503827.0000
1994,M,Medium Vendor,PDuns,NULL,0,1,195,197,204,5085433.0000
2009,M,Medium Vendor,PID,NULL,1,1,8,8,0,191958.6563
2001,M,Medium Vendor,PDuns,1,0,0,65,65,97,-2544087.9600
2003,S,Always Small Vendor,Duns,0,1,1,20,3,31,2445888.0000
2012,L,Large Vendor,PDuns,1,1,1,2,14,195,34257931.0790
2006,J,Large: Big 5 JV,PID,1,1,1,1,1,15,58224019.0000
2002,N,Sometimes Small Vendor,PDuns,NULL,1,1,18,19,45,9993794.6094
2004,N,Sometimes Small Vendor,Name,0,0,0,1,1,2,4771.0000
2016,L,Large Vendor,PID,0,1,1,240,240,10946076,138550071430.1727
2011,U,Unlabeled Vendor,Duns,0,1,1,3,3,10,283679.9024
2012,S,Always Small Vendor,PDuns,1,1,1,323,327,789,194767393.9904
2007,N,Sometimes Small Vendor,PDuns,NULL,1,1,49,54,6,3752191.8402
2008,S,Always Small Vendor,PDuns,0,0,1,31674,31784,129347,421727378.9714
2011,B,Big Five,PDuns,0,0,0,1,27,262,17841864.2749
1988,S,Always Small Vendor,PDuns,NULL,0,0,2,2,NULL,1447000.0000
2013,M,Medium Vendor,PDuns,0,0,0,2161,2193,4589,123726181.0000
2012,M,Medium Vendor,PID,1,0,1,31,31,53,204020.2008
2015,U,Unlabeled Vendor,Name,0,0,1,1,1,1,7892.5700
2016,S,Always Small Vendor,PDuns,1,1,1,316,317,995,179333249.6098
2003,L,Large Vendor,PID,0,1,1,229,229,227129,102436087202.4923
2010,M,Medium Vendor,PDuns,1,1,1,5178,5305,107919,5869910478.0890
2001,N,Sometimes Small Vendor,PDuns,0,1,1,4315,6297,106128,17104468395.2660
2015,N,Sometimes Small Vendor,PDuns,1,0,1,11,11,98,188673.6600
2011,S,Always Small Vendor,Duns,1,1,1,1,1,1,-683638.7500
1999,M,Medium Vendor,PDuns,NULL,0,1,511,514,554,23365860.0000
2012,L,Large Vendor,PID,NULL,0,0,1,1,0,0.0000
2007,S,Always Small Vendor,Duns,0,0,0,60,3,90,118547.3596
2009,J,Large: Big 5 JV,PID,1,1,1,1,1,17,65656433.3750
2013,M,Medium Vendor,Duns,0,0,1,3,3,5,7455.9400
2010,L,Large Vendor,PDuns,0,0,1,1,5,5,35985.0000
2016,U,Unlabeled Vendor,Duns,0,1,1,4,2,8,1111821.5127
2012,N,Sometimes Small Vendor,PDuns,1,1,1,165,169,2578,265364893.1271
2006,N,Sometimes Small Vendor,PDuns,0,1,1,11885,19234,2932803,38856420639.3048
2012,L,Large Vendor,PID,NULL,1,1,1,1,0,0.0000
2001,M,Medium Vendor,PDuns,NULL,0,0,474,474,48,687877.1399
1997,S,Always Small Vendor,PDuns,NULL,0,0,209,209,306,-4944201.0000
2010,B,Big Five,PID,0,1,1,5,5,88010,104191887557.9145
2012,M,Medium Vendor,PDuns,NULL,1,1,1154,1162,51,250441077.9573
2016,M,Medium Vendor,PID,1,0,1,6,6,9,-2387.1200
2000,J,Large: Big 5 JV,PDuns,0,1,1,1,5,55,9292131.0000
1996,M,Medium Vendor,PDuns,NULL,1,1,8473,10169,55596,13908800143.0000
2009,N,Sometimes Small Vendor,PDuns,1,0,1,63,63,286,780010.7989
2001,J,Large: Big 5 JV,PID,0,0,1,1,1,2,22000.0000
2013,M,Medium Vendor,PDuns,NULL,0,1,56,56,2,116433.7300
1997,M,Medium Vendor,PDuns,NULL,1,1,7978,9272,42217,10970235242.0000
2005,L,Large Vendor,PID,0,0,0,3,3,8,-62529.2800
2010,S,Always Small Vendor,PID,1,1,1,7,7,16,8867976.0000
2002,N,Sometimes Small Vendor,PDuns,1,1,1,33,35,729,39751765.0000
2013,M,Medium Vendor,PID,0,1,1,547,547,114001,31863116513.3300
2011,S,Always Small Vendor,Duns,1,0,0,1,1,1,-9778.9600
2014,M,Medium Vendor,PDuns,NULL,0,1,57,57,3,149457.8700
2010,N,Sometimes Small Vendor,PID,0,1,1,917,917,367805,57983650078.9951
2016,N,Sometimes Small Vendor,Duns,0,1,1,4,3,70320,1484958392.8744
2007,B,Big Five,PDuns,0,0,1,2,20,196,44597235.6877
1995,N,Sometimes Small Vendor,PDuns,NULL,0,0,2,2,4,-1445688.0000
2007,M,Medium Vendor,PID,0,0,0,18,18,48,52114.7815
2002,S,Always Small Vendor,Duns,0,0,0,3,1,0,0.0000
2005,S,Always Small Vendor,PDuns,1,0,0,55,55,107,179564.5599
2004,U,Unlabeled Vendor,Duns,1,0,1,12,2,20,96182.6399
2000,M,Medium Vendor,PDuns,0,0,1,1984,1999,4093,60223570.0025
2004,M,Medium Vendor,PID,1,1,1,62,62,833,1937519419.1690
2016,N,Sometimes Small Vendor,PDuns,1,0,1,9,9,107,240887.8903
2013,S,Always Small Vendor,PDuns,NULL,1,1,6116,6116,7,201872252.6800
2014,S,Always Small Vendor,PDuns,0,1,1,59623,60319,612740,50769861645.8419
2015,N,Sometimes Small Vendor,PID,0,1,1,618,618,268469,32453512190.1996
2007,M,Medium Vendor,PID,NULL,0,1,1,1,0,1611.0000
2013,L,Large Vendor,PID,0,0,1,2,2,10,11245.7300
2005,M,Medium Vendor,PDuns,NULL,0,1,617,618,1782,6119715.4272
2009,B,Big Five,PID,0,1,1,5,5,84640,114228573413.1280
2013,S,Always Small Vendor,Duns,0,0,1,7,7,7,27439.7800
2011,L,Large Vendor,PID,0,0,0,1,1,1,0.0000
2005,M,Medium Vendor,PDuns,0,0,0,3800,4080,18032,351027723.0442
2007,N,Sometimes Small Vendor,PDuns,1,1,1,589,614,13631,672846003.0193
2015,S,Always Small Vendor,PDuns,1,0,0,24,24,36,-389548.3300
2003,M,Medium Vendor,PID,0,0,0,17,17,54,-3750965.0000
2004,S,Always Small Vendor,Duns,1,1,1,5,1,6,758719.0781
2003,N,Sometimes Small Vendor,PDuns,0,1,1,6244,9727,218577,24149486431.7612
1998,M,Medium Vendor,PDuns,NULL,0,1,467,469,496,15499091.0000
2012,S,Always Small Vendor,PDuns,NULL,1,1,4618,4621,9,143103513.5047
1991,S,Always Small Vendor,PDuns,NULL,0,0,119,119,NULL,-95546380.0000
2015,U,Unlabeled Vendor,Duns,1,0,1,2,1,3,17433.0000
2005,N,Sometimes Small Vendor,PDuns,0,1,1,11272,17728,2800424,37071419453.2572
2000,N,Sometimes Small Vendor,PID,0,0,1,6,6,38,319704.0000
2006,L,Large Vendor,Duns,0,1,1,1,1,2520,222511071.2434
2002,N,Sometimes Small Vendor,PID,1,1,1,2,2,8,1568815.0000
2008,S,Always Small Vendor,Duns,0,1,1,8,2,15,259626.4102
2005,N,Sometimes Small Vendor,PID,0,0,1,29,29,291,1784288.1905
2009,S,Always Small Vendor,Duns,0,0,1,10,3,12,40556.0800
2014,N,Sometimes Small Vendor,PDuns,NULL,1,1,66,95,0,449532.0300
2011,N,Sometimes Small Vendor,PDuns,1,0,1,18,19,77,160145.6630
2005,N,Sometimes Small Vendor,PDuns,1,0,0,5,5,19,28740.4300
2008,S,Always Small Vendor,PID,0,0,1,43,43,117,567607.5405
2009,U,Unlabeled Vendor,Name,0,0,1,1,1,1,-340.9900
2006,S,Always Small Vendor,PDuns,1,1,1,263,263,602,61647899.6437
2000,S,Always Small Vendor,PID,1,1,1,8,8,9,859000.0000
2006,N,Sometimes Small Vendor,PDuns,1,0,0,12,12,36,52527.0000
2006,U,Unlabeled Vendor,Name,0,0,1,48,2,74,91580.1593
2004,L,Large Vendor,PID,0,0,1,4,4,36,42176.2500
2009,S,Always Small Vendor,PID,0,0,1,24,24,58,230966.7590
2014,M,Medium Vendor,PID,NULL,1,1,14,14,8,4869658.3900
2008,N,Sometimes Small Vendor,PDuns,1,1,1,496,511,10479,905831214.9723
2005,S,Always Small Vendor,PID,1,1,1,2,2,4,5497484.0391
2014,U,Unlabeled Vendor,Duns,1,1,1,1,1,6,822256.5300
2000,M,Medium Vendor,PID,0,0,1,55,55,187,1394433.0000
2003,B,Big Five,PDuns,0,1,1,3,9,69,16332516.0000
2011,L,Large Vendor,PDuns,0,1,1,95,495,32479,1145006550.3606
1999,L,Large Vendor,PID,NULL,1,1,192,192,60966,29099196973.0000
2009,S,Always Small Vendor,PDuns,0,0,1,32221,32322,84508,348562408.1888
2015,S,Always Small Vendor,PDuns,0,1,1,58252,58834,855505,50223358068.5325
2010,L,Large Vendor,PID,0,0,1,1,1,39,5912.4101
