"Fiscal Year","Contracting Agency ID","Product or Service Code","Dollars Obligated"
"2019","12C2","2305","$1,790,440.11"
"2019","12C2","2310","$1,596,608.39"
"2019","12C2","2320","$259,829.52"
"2019","12C2","2330","$1,098,118.86"
"2019","12C2","2340","$1,644,427.01"
"2019","12C2","2410","$590,872.19"
"2019","12C2","2420","$1,237,335.13"
"2019","12C2","2430","$373,933.88"
"2019","12C2","2510","$446,990.44"
"2019","12C2","2520","$0.00"
"2019","12C2","2530","$5,299.00"
"2019","12C2","2540","$28,148.07"
"2019","12C2","2590","($3,539,416.20)"
"2019","12C2","2640","$6,500.00"
"2019","12C2","2805","$11,233.56"
"2019","12C2","2815","$27,975.85"
"2019","12C2","2895","$0.00"
"2019","12C2","2930","$0.00"
"2019","12C2","3405","$4,088.98"
"2019","12C2","3416","$9,005.47"
"2019","12C2","3419","$45,825.17"
"2019","12C2","3431","$13,828.59"
"2019","12C2","3438","$129,894.89"
"2019","12C2","3449","$14,380.00"
"2019","12C2","3470","$9,800.00"
"2019","12C2","3510","$10,980.00"
"2019","12C2","3590","$114,404.35"
"2019","12C2","3605","$24,465.75"
"2019","12C2","3610","$143,120.33"
"2019","12C2","3611","$36,170.00"
"2019","12C2","3615","$22,075.00"
"2019","12C2","3630","$210,328.01"
"2019","12C2","3685","$158,774.75"
"2019","12C2","3694","$16,047.00"
"2019","12C2","3695","$134,495.89"
"2019","12C2","3710","$330,297.74"
"2019","12C2","3720","$73,574.00"
"2019","12C2","3730","$7,029.00"
"2019","12C2","3750","$174,493.51"
"2019","12C2","3805","$580,353.93"
"2019","12C2","3820","$415,742.31"
"2019","12C2","3825","$157,890.87"
"2019","12C2","3830","$117,141.29"
"2019","12C2","3835","$46,609.13"
"2019","12C2","3895","$787,568.56"
"2019","12C2","3915","$10,150.00"
"2019","12C2","3920","($6,061.00)"
"2019","12C2","3930","$138,426.99"
"2019","12C2","3960","$13,477.64"
"2019","12C2","3990","$124,144.58"
"2019","12C2","4010","$7,380.00"
"2019","12C2","4020","$111,531.60"
